date,product,rating,review_text
2025-06-01,Widget B,1,"Great features, but the manual is confusing."
2025-06-02,Widget B,2,Top-notch support; issue resolved fast.
2025-06-03,Widget B,5,Shipping delays ruined the experience.
2025-06-04,Widget A,2,Good quality overall with minor flaws.
2025-06-05,Gadget C,4,"It’s okay, nothing special but not terrible either."
2025-06-06,Gadget C,4,Fantastic! Smooth UI and fast shipping.
2025-06-07,Widget B,2,Absolutely love this! Build quality exceeded my expectations.
2025-06-08,Widget A,2,Solid product; setup was straightforward.
2025-06-09,Widget B,5,Loved the design but software is buggy.
2025-06-10,Widget B,4,Durable and reliable after months of use.
2025-06-11,Gadget C,2,Poor connectivity and frequent disconnects.
2025-06-12,Widget A,5,Good quality overall with minor flaws.
2025-06-13,Widget B,2,Solid product; setup was straightforward.
2025-06-14,Widget B,2,Amazing performance and battery life. Highly recommend.
2025-06-15,Gadget C,3,Good quality overall with minor flaws.
2025-06-16,Gadget C,5,Perfect for my daily needs.
2025-06-17,Widget B,4,"Really disappointed, app keeps crashing."
2025-06-18,Widget B,2,Perfect for my daily needs.
2025-06-19,Widget A,2,Doesn't match description. False advertising.
2025-06-20,Widget B,4,Average; might return depending on usage.
2025-06-21,Widget A,3,Shipping delays ruined the experience.
2025-06-22,Widget B,4,Mediocre sound quality and flimsy build.
2025-06-23,Widget A,4,Best purchase I've made this year!
2025-06-24,Widget A,2,"It’s okay, nothing special but not terrible either."
2025-06-25,Widget A,3,"It’s okay, nothing special but not terrible either."
2025-06-26,Gadget C,5,Loved the design but software is buggy.
2025-06-27,Widget B,3,Decent for the price. Could be better packaging.
2025-06-28,Widget A,5,Amazing performance and battery life. Highly recommend.
2025-06-29,Widget B,5,Loved the design but software is buggy.
2025-06-30,Gadget C,2,Perfect for my daily needs.
